UF;HOSP_0;HOSP_1;HOSP_2;HOSP_3;OBITO_0;OBITO_1;OBITO_2;OBITO_3;HOSPT;OBITO;DOSE_0;DOSE_1;DOSE_2;DOSE_3
AC;3058;459;195;8;1020;170;57;0;3518;1190;3058;459;195;8
AL;16535;1757;1085;6;3697;358;180;0;18355;4072;16535;1757;1085;6
AM;19963;1679;1016;27;6427;307;178;7;21683;6738;19963;1679;1016;27
AP;3338;380;188;0;796;82;40;0;3729;881;3338;380;188;0
BA;50926;7800;5108;276;13322;1937;1146;6;59136;15323;50926;7800;5108;276
CE;55462;6108;4314;55;13766;1159;618;3;61706;14963;55462;6108;4314;55
DF;26806;6278;4195;667;5479;1371;875;9;33280;6895;26806;6278;4195;667
ES;8540;1954;1236;18;3017;510;345;4;10536;3538;8540;1954;1236;18
GO;51124;7996;4955;146;15406;2083;1318;10;59275;17528;51124;7996;4955;146
MA;15183;1563;1046;41;4977;420;285;1;16773;5411;15183;1563;1046;41
MG;151845;43050;27871;1320;35921;11181;6299;43;195604;47236;151845;43050;27871;1320
MS;22244;6928;4114;92;5309;2026;1103;4;29244;7343;22244;6928;4114;92
MT;18025;2552;1438;23;4393;540;298;1;20606;4938;18025;2552;1438;23
PA;31429;3672;2210;111;8910;799;442;2;35150;9719;31429;3672;2210;111
PB;20443;4221;2720;3;4985;1310;756;1;24703;6307;20443;4221;2720;3
PE;33899;9377;6229;186;6099;1911;975;16;43372;8027;33899;9377;6229;186
PI;13036;1913;1243;79;3140;523;325;2;14987;3672;13036;1913;1243;79
PR;102342;28523;19562;1517;22250;6736;4010;52;131193;29052;102342;28523;19562;1517
RJ;102826;28232;19622;650;27647;8954;6143;53;132074;36896;102826;28232;19622;650
RN;13127;2689;1638;52;3909;792;476;6;15858;4716;13127;2689;1638;52
RO;9937;763;505;16;3215;204;125;0;10720;3420;9937;763;505;16
RR;3065;380;258;0;1081;76;56;0;3449;1158;3065;380;258;0
RS;73444;24922;14575;405;20149;8499;4685;15;98598;28710;73444;24922;14575;405
SC;52649;11578;7127;107;11186;2940;1794;7;64378;14161;52649;11578;7127;107
SE;13463;1591;845;52;2556;688;313;2;15094;3249;13463;1591;845;52
SP;364170;94871;58988;3369;84986;24361;13940;120;460284;109584;364170;94871;58988;3369
TO;8335;932;601;0;1892;193;136;0;9277;2089;8335;932;601;0
